Wall time,Step,Value
1621835869,227711,0.382744581
1621835869,227877,0.206705391
1621835870,228230,0.285863668
1621835870,228253,0.430723667
1621835871,228403,0.426545978
1621835873,229282,0.052549671
1621835874,229524,0.085993096
1621835875,229800,1.636533499
1621835876,229872,0.408313751
1621835877,230276,0.335538685
1621835878,230732,21.58950233
1621835879,230848,0.094991095
1621835880,231281,0.79305464
1621835882,231959,0.254023075
1621835882,232055,0.470380783
1621835887,233548,0.230488956
1621835891,234856,1.046164632
1621835892,235215,4.869710445
1621835895,236258,0.13896057
1621835895,236356,0.201648727
1621835895,236368,0.111881398
1621835896,236606,0.124882616
1621835898,237422,0.526645124
1621835898,237511,0.82347393
1621835899,237976,3.748162031
1621835899,237978,0.337736338
1621835900,238182,0.870932996
1621835901,238594,2.426666498
1621835901,238597,0.418741196
1621835902,238960,0.44682312
1621835902,239010,1.145066977
1621835903,239301,1.507698894
1621835904,239455,12.43567657
1621835904,239584,0.675220788
1621835905,239792,0.537882805
1621835905,239948,0.31714353
1621835906,240254,1.143872857
1621835906,240382,0.610075831
1621835909,241034,0.32746619
1621835912,242071,0.862109363
1621835912,242185,0.382455468
1621835912,242203,3.379477501
1621835913,242446,29.84029961
1621835916,243481,0.502562702
1621835916,243483,0.383568347
1621835916,243496,10.85679626
1621835916,243643,0.277603447
1621835917,243820,1.586372018
1621835917,243948,0.33574599
1621835917,244003,0.475563794
1621835918,244228,0.398336619
1621835918,244469,0.583242059
1621835920,244928,0.481399566
1621835920,245070,0.374516487
1621835921,245226,0.470623046
1621835921,245320,0.258214235
1621835923,246198,4.14657402
1621835924,246595,4.241287708
1621835925,246749,1.063253403
1621835925,246917,12.84605408
1621835927,247418,0.330156177
1621835927,247460,0.993802667
1621835929,248058,2.613382578
1621835929,248316,0.331235647
1621835930,248626,0.219263166
1621835931,248825,0.50671947
1621835932,249349,0.402359426
1621835932,249471,0.609574378
1621835934,250105,0.182306558
1621835937,250936,0.317774713
1621835937,251152,0.303378016
1621835938,251543,0.072369248
1621835939,251641,0.385825008
1621835940,252076,0.273547769
1621835941,252353,0.351927757
1621835944,253583,0.2074458
1621835944,253684,0.285702676
1621835947,254697,0.542735279
1621835948,254912,0.230348885
1621835950,255726,0.577776134
1621835951,256062,0.650348425
1621835954,256951,0.404775977
1621835955,257519,0.176626667
1621835956,257646,1.711568713
1621835956,257706,0.191097096
1621835958,258304,0.097996801
1621835958,258447,0.054993704
1621835958,258536,0.181270123
1621835959,258972,0.218152449
1621835960,259051,0.345597595
1621835961,259688,0.443077475
1621835962,260036,1.342722893
1621835962,260056,1.375658154
1621835963,260254,0.272720426
1621835965,260881,0.515047073
1621835965,261094,0.158315793
1621835966,261207,0.7828632
1621835966,261331,0.352766246
1621835967,261707,0.422773719
1621835967,261808,0.08245746
1621835968,261821,0.215235978
1621835968,262078,0.114383504
1621835969,262351,0.212771192
1621835970,262597,0.046471152
1621835971,262975,0.120549314
1621835971,263054,0.307703704
1621835971,263212,0.041024636
1621835972,263451,0.935659885
1621835974,264306,0.322332501
1621835975,264434,0.247257277
1621835975,264613,0.256213784
1621835976,264702,0.11758928
1621835977,265127,0.408647627
1621835978,265416,0.079419121
1621835978,265474,0.383686185
1621835979,266007,0.086748257
1621835981,266476,0.131358117
1621835981,266742,0.096911654
1621835982,266957,0.330957621
